公立学校,gōnglìxuéxiào,Public School
私立学校,sīlìxuéxiào,Private School
补习班,bǔxíbān,Cram School
补习,bǔxí,Tutor
学长,xuézhǎng,Male Upperclassman
学弟,xuédì,Male Underclassman
学姐,xuéjiě,Female Upperclassman
学妹,xuémèi,Female Underclassman
校友,xiàoyǒu,Alumni
同学,tóngxué,Classmate
事情,shìqing,Matter/Business
文科,wénkē,Liberal Arts
理科,lǐkē,Science
校队,xiàoduì,School Team
机会,jīhuì,Chance
参加,cānjiā,Join
请,qǐng,Please
见面,jiànmiàn,Meet
分班,fēnbān,Arrange Classes
转学,zhuǎnxué,Transfer
非常,fēicháng,Very
特别,tèbié,Especially
这样,zhèyàng,So
棒,bàng,Great
跟,gēn,And
还没有,hái méiyǒu,Not Yet
意思,yìsi,Meaning
同,tóng,Same
男孩,nánhái,Boy
女孩,nǚhái,Girl
就,jiù,Exactly
哦,o,Oh
以前,yǐqián,Before
得,de,Structure Particle
请,qǐng,Please
见面,jiànmiàn,Meet
